Type_of_aggregates,Design_F'c (Mpa),Curing_age_(days),Cs_(Mpa),Er_(ohm-cm),UPV_(m/s)
Rounded,25,28,26.7141,5.1901,3415.224
Rounded,25,28,26.5021,5.13,3389.5929
Rounded,25,28,26.7087,5.1889,3397.5812
Rounded,25,28,26.6193,5.2079,3404.9559
Rounded,25,28,26.5083,5.185,3379.0221
Rounded,25,28,26.6644,5.1174,3388.2346
Rounded,25,28,26.559,5.299,3443.7338
Rounded,25,28,26.5344,5.2463,3435.7792
Rounded,25,28,26.5636,5.2866,3396.0433
Rounded,25,28,26.5427,5.17,3447.5851
Rounded,25,28,26.5578,5.1781,3396.3563
Rounded,25,28,26.5059,5.2831,3399.0447
Rounded,25,28,26.716,5.1701,3426.5781
Rounded,25,28,26.5907,5.2802,3380.9036
Rounded,25,28,26.6817,5.1771,3406.8353
Rounded,25,28,26.7373,5.2677,3417.045
Rounded,25,28,26.6677,5.2409,3392.3957
Rounded,25,28,26.6808,5.2347,3418.3578
Rounded,25,28,26.6486,5.1348,3432.9198
Rounded,25,28,26.591,5.2352,3331.4056
Rounded,25,28,25.8388,5.5852,3299.1866
Rounded,25,28,25.0944,5.4411,3294.4163
Rounded,25,28,25.0514,5.4513,3348.4177
Rounded,25,28,26.2905,5.497,3376.5329
Rounded,25,28,26.4174,5.2038,3289.0825
Rounded,25,28,25.6856,5.3739,3302.7903
Rounded,25,28,25.531,5.3171,3368.0187
Rounded,25,28,25.9893,5.1743,3250.9152
Rounded,25,28,26.4225,5.2616,3268.9472
Rounded,25,28,24.8995,5.545,3371.403
Rounded,25,28,26.6769,5.4639,3250.5035
Rounded,25,28,26.6284,5.3022,3286.4636
Rounded,25,28,26.5538,5.3115,3347.4748
Rounded,25,28,26.5037,5.385,3310.3831
Rounded,25,28,25.5707,5.3198,3251.5816
Rounded,25,28,25.6677,5.5346,3248.9439
Rounded,25,28,26.7385,5.3944,3275.544
Rounded,25,28,24.9339,5.1393,3372.3206
Rounded,25,28,25.3496,5.6844,3309.1919
Rounded,25,28,26.3717,5.6656,3206.3558
Rounded,25,28,24.9283,5.5393,3195.5437
Rounded,25,28,26.6341,5.4032,3189.4533
Rounded,25,28,26.7924,5.4213,3201.3213
Rounded,25,28,26.8994,5.6895,3218.3893
Rounded,25,28,26.6309,5.4803,3219.7654
Rounded,25,28,26.4738,5.5374,3241.2105
Rounded,25,28,25.8913,5.5728,3218.1412
Rounded,25,28,25.1727,5.5034,3231.1332
Rounded,25,28,25.6457,5.302,3191.097
Rounded,25,28,25.0793,5.3189,3233.0785
Rounded,25,28,24.8587,5.3737,3219.448
Rounded,25,28,26.8025,5.3145,3227.3153
Rounded,25,28,25.4375,5.5609,3243.6823
Rounded,25,28,25.4251,5.3474,3205.9153
Rounded,25,28,25.5052,5.5476,3229.4288
Rounded,25,28,25.7922,5.6216,3200.6997
Rounded,25,28,26.1799,5.5946,3242.4944
Rounded,25,28,24.8466,5.4661,3234.1394
Rounded,25,28,26.5951,5.51,3209.3594
Rounded,25,40,27.4028,4.6068,3606.1075
Rounded,25,40,27.44,4.6432,3581.8153
Rounded,25,40,27.3762,4.6309,3409.4983
Rounded,25,40,27.3886,4.4591,3419.3502
Rounded,25,40,27.3392,4.3769,3672.7606
Rounded,25,40,27.3547,4.3802,3491.2494
Rounded,25,40,27.4159,4.4616,3454.7936
Rounded,25,40,27.374,4.5137,3451.4022
Rounded,25,40,27.4456,4.5142,3450.9641
Rounded,25,40,27.3472,4.4881,3669.4018
Rounded,25,40,27.457,4.3538,3574.3644
Rounded,25,40,27.4004,4.621,3663.8064
Rounded,25,40,27.4215,4.5186,3538.1912
Rounded,25,40,27.4584,4.6846,3676.6215
Rounded,25,40,27.3686,4.5368,3724.9551
Rounded,25,40,27.3846,4.4077,3561.6251
Rounded,25,40,27.3909,4.5895,3516.6695
Rounded,25,40,27.4287,4.4303,3536.8435
Rounded,25,40,27.4355,4.6588,3525.7749
Rounded,25,40,27.345,4.4288,3625.3469
Rounded,25,40,27.4604,4.4602,3651.1864
Rounded,25,40,27.4625,4.5082,3672.9205
Rounded,25,40,27.4591,4.4313,3688.6804
Rounded,25,40,27.4643,4.5203,3650.1822
Rounded,25,40,27.4622,4.6237,3692.5513
Rounded,25,40,27.4604,4.5507,3672.4444
Rounded,25,40,27.4608,4.603,3721.0459
Rounded,25,40,27.4686,4.5795,3662.9636
Rounded,25,40,27.466,4.4406,3687.015
Rounded,25,40,27.4637,4.4277,3698.1881
Rounded,25,40,27.4687,4.4805,3704.0565
Rounded,25,40,27.4596,4.6867,3729.1348
Rounded,25,40,27.4668,4.6189,3660.7393
Rounded,25,40,27.4667,4.6574,3738.7008
Rounded,25,40,27.4647,4.3968,3671.8929
Rounded,25,40,27.4605,4.3965,3747.5273
Rounded,25,40,27.4651,4.4487,3740.2798
Rounded,25,40,27.4618,4.5482,3735.1234
Rounded,25,40,27.4599,4.571,3654.1951
Rounded,25,40,27.4608,4.6678,3671.0612
Rounded,25,40,27.3244,4.2847,3600.4361
Rounded,25,40,27.4581,4.2455,3578.5217
Rounded,25,40,27.4303,3.959,3598.8873
Rounded,25,40,27.4609,4.0153,3569.5193
Rounded,25,40,27.398,3.9863,3574.6096
Rounded,25,40,27.4675,3.9284,3575.4661
Rounded,25,40,27.324,4.0258,3630.7058
Rounded,25,40,27.4378,4.2994,3591.7315
Rounded,25,40,27.4545,4.3117,3641.6053
Rounded,25,40,27.4198,4.0019,3570.0543
Rounded,25,40,27.3956,4.0505,3587.3548
Rounded,25,40,27.4532,3.957,3630.4937
Rounded,25,40,27.3081,3.9893,3593.1695
Rounded,25,40,27.4158,4.0921,3646.3521
Rounded,25,40,27.4214,4.018,3577.6561
Rounded,25,40,27.4596,3.9827,3646.5466
Rounded,25,40,27.4213,4.1648,3574.3877
Rounded,25,40,27.4621,4.2726,3634.0604
Rounded,25,40,27.3876,4.1452,3586.0066
Rounded,25,40,27.3461,4.2335,3615.647
Rounded,25,40,29.1709,3.9741,3381.0677
Rounded,25,40,27.5728,3.9535,3259.1627
Rounded,25,40,27.5461,4.1228,3363.6208
Rounded,25,40,29.6025,4.0761,3541.1675
Rounded,25,40,29.9802,3.9921,3495.9669
Rounded,25,40,28.8836,4.242,3538.2535
Rounded,25,40,27.6297,3.9274,3555.2162
Rounded,25,40,29.746,4.1278,3390.7024
Rounded,25,40,28.3058,4.038,3276.1976
Rounded,25,40,28.1755,4.0471,3300.3558
Rounded,25,40,29.5112,4.1828,3422.9563
Rounded,25,40,27.3379,4.1064,3530.5117
Rounded,25,40,27.4504,4.1718,3432.4472
Rounded,25,40,29.2797,4.0795,3439.5929
Rounded,25,40,29.0894,4.0363,3357.5146
Rounded,25,40,28.8609,3.9846,3383.0004
Rounded,25,40,29.4622,4.13,3499.5608
Rounded,25,40,29.3959,4.1307,3365.9392
Rounded,25,40,29.6147,4.1431,3458.9025
Rounded,25,40,28.1577,4.111,3285.0333
Rounded,25,40,30.6495,4.3197,3572.8028
Rounded,25,40,30.5731,4.3197,3570.6415
Rounded,25,40,30.4831,4.3197,3479.0881
Rounded,25,40,30.2949,4.3197,3478.4366
Rounded,25,40,30.6987,4.3197,3278.9128
Rounded,25,40,30.45,4.3197,3394.5031
Rounded,25,40,30.6019,4.3197,3545.3458
Rounded,25,40,30.6768,4.3197,3363.9406
Rounded,25,40,30.3192,4.3197,3307.0857
Rounded,25,40,30.3322,4.3197,3511.7705
Rounded,25,40,30.5691,4.3197,3482.164
Rounded,25,40,30.533,4.3197,3287.596
Rounded,25,40,30.7607,4.3197,3543.4645
Rounded,25,40,30.7093,4.3197,3379.7309
Rounded,25,40,30.673,4.3197,3641.1314
Rounded,25,40,30.2892,4.3197,3582.5278
Rounded,25,40,30.3013,4.3197,3477.8701
Rounded,25,40,30.3101,4.3197,3419.1708
Rounded,25,40,30.7089,4.3197,3593.7375
Rounded,25,40,30.7902,4.3197,3318.0922
Rounded,25,40,29.6825,4.3197,3663.8924
Rounded,25,40,30.6021,4.3197,3672.574
Rounded,25,40,29.6175,4.3197,3673.3627
Rounded,25,40,30.6383,4.3197,3673.0128
Rounded,25,40,30.6264,4.3197,3671.0417
Rounded,25,40,29.7542,4.3197,3660.9173
Rounded,25,40,30.2741,4.3197,3661.8695
Rounded,25,40,29.7324,4.3197,3668.2769
Rounded,25,40,29.5735,4.3197,3675.9733
Rounded,25,40,29.8501,4.3197,3666.6466
Rounded,25,40,29.5887,4.3197,3667.34
Rounded,25,40,30.4308,4.3197,3677.8373
Rounded,25,40,29.5971,4.3197,3668.1598
Rounded,25,40,29.2043,4.3197,3672.9574
Rounded,25,40,29.3771,4.3197,3669.1072
Rounded,25,40,30.6785,4.3197,3673.833
Rounded,25,40,30.2114,4.3197,3660.9545
Rounded,25,40,30.2068,4.3197,3674.2147
Rounded,25,40,29.6803,4.3197,3665.4527
Rounded,25,40,29.8255,4.3197,3673.8561
Rounded,25,40,29.451,4.3197,3554.0613
Rounded,25,40,29.293,4.3197,3615.2264
Rounded,25,40,29.2325,4.3197,3590.631
Rounded,25,40,29.1878,4.3197,3502.2335
Rounded,25,40,29.4445,4.3197,3643.3786
Rounded,25,40,29.2324,4.3197,3536.5438
Rounded,25,40,29.3008,4.3197,3504.756
Rounded,25,40,29.362,4.3197,3640.4012
Rounded,25,40,29.2411,4.3197,3548.8919
Rounded,25,40,29.3958,4.3197,3559.0147
Rounded,25,40,29.3368,4.3197,3606.3361
Rounded,25,40,29.2122,4.3197,3557.7011
Rounded,25,40,29.4482,4.3197,3559.0019
Rounded,25,40,29.193,4.3197,3621.5674
Rounded,25,40,29.2655,4.3197,3552.0488
Rounded,25,40,29.2442,4.3197,3614.9115
Rounded,25,40,29.3542,4.3197,3511.4367
Rounded,25,40,29.1896,4.3197,3546.1831
Rounded,25,40,29.3071,4.3197,3583.4441
Rounded,25,40,29.1946,4.3197,3593.6269
Rounded,25,40,29.2775,4.3657,3461.7642
Rounded,25,40,27.7669,4.3274,3484.861
Rounded,25,40,28.8746,4.7411,3452.7579
Rounded,25,40,28.1734,4.8499,3475.4354
Rounded,25,40,27.3623,4.6912,3466.0169
Rounded,25,40,28.5579,4.4793,3483.841
Rounded,25,40,27.9684,4.432,3480.7477
Rounded,25,40,27.8261,4.8986,3473.7595
Rounded,25,40,28.5575,4.5614,3492.354
Rounded,25,40,28.0567,4.6856,3474.1183
Rounded,25,40,29.2832,4.8649,3478.1019
Rounded,25,40,27.4313,4.692,3462.6634
Rounded,25,40,29.1086,4.4102,3452.0069
Rounded,25,40,28.9317,4.4562,3477.9091
Rounded,25,40,27.7368,4.8726,3451.5299
Rounded,25,40,28.434,4.6098,3474.9928
Rounded,25,40,27.8016,4.6056,3489.3651
Rounded,25,40,28.6399,4.6343,3474.5477
Rounded,25,40,28.9165,4.8487,3497.6036
Rounded,25,40,29.4462,4.6043,3462.8302
Rounded,25,40,28.8604,4.8944,3449.4566
Rounded,25,40,28.2891,4.7585,3396.9749
Rounded,25,40,28.3411,4.8139,3426.6568
Rounded,25,40,28.7117,4.8756,3408.6469
Rounded,25,40,27.4216,4.8511,3373.5952
Rounded,25,40,28.0225,4.8548,3371.1306
Rounded,25,40,29.0934,4.8514,3358.7645
Rounded,25,40,28.9146,4.7239,3398.5763
Rounded,25,40,27.5761,4.8285,3424.6439
Rounded,25,40,27.5874,4.8268,3448.7931
Rounded,25,40,27.4988,4.8173,3402.9273
Rounded,25,40,27.3007,4.8473,3426.8102
Rounded,25,40,28.274,4.7396,3409.1104
Rounded,25,40,28.8188,4.7996,3448.8694
Rounded,25,40,28.9767,4.8002,3392.7999
Rounded,25,40,28.5274,4.893,3424.2642
Rounded,25,40,27.5374,4.8395,3364.5845
Rounded,25,40,28.763,4.8432,3369.3534
Rounded,25,40,27.5789,4.7436,3409.7203
Rounded,25,40,27.5971,4.8491,3429.4883
Rounded,25,3,12.2562,3.5003,3101.0755
Rounded,25,3,12.2649,3.5076,3065.7981
Rounded,25,3,12.2701,3.5045,3056.6
Rounded,25,3,12.2757,3.4966,3141.3833
Rounded,25,3,12.2999,3.5067,3069.5799
Rounded,25,3,12.2997,3.5005,3184.0039
Rounded,25,3,12.28,3.4993,3167.4253
Rounded,25,3,12.2866,3.4988,3082.5133
Rounded,25,3,12.4149,3.5083,3070.2521
Rounded,25,3,12.377,3.5039,3100.1537
Rounded,25,3,12.3475,3.4987,3136.4412
Rounded,25,3,12.2733,3.4993,3010.41
Rounded,25,3,12.2788,3.509,3165.0895
Rounded,25,3,12.2519,3.5031,3210.5473
Rounded,25,3,12.419,3.5077,3192.1697
Rounded,25,3,12.3777,3.5092,3223.0356
Rounded,25,3,12.3479,3.506,3047.1104
Rounded,25,3,12.2991,3.5028,3072.2444
Rounded,25,3,12.2697,3.5015,3216.0054
Rounded,25,3,12.3609,3.5028,3202.7143
Rounded,25,3,11.8688,3.4128,3243.0679
Rounded,25,3,12.3384,3.3685,3125.6181
Rounded,25,3,12.2882,3.422,3107.7561
Rounded,25,3,12.2084,3.4754,3237.1748
Rounded,25,3,12.3938,3.4264,3246.5997
Rounded,25,3,12.0433,3.5046,3119.2111
Rounded,25,3,12.2052,3.5054,3113.0871
Rounded,25,3,11.8718,3.4088,3066.2155
Rounded,25,3,12.2053,3.4749,3095.7073
Rounded,25,3,12.0798,3.4057,3153.775
Rounded,25,3,12.3476,3.4932,3289.5386
Rounded,25,3,12.2172,3.4696,3102.3127
Rounded,25,3,12.3437,3.3661,3296.6472
Rounded,25,3,12.0008,3.3528,3106.53
Rounded,25,3,11.9359,3.4909,3151.7304
Rounded,25,3,12.2348,3.4804,3064.8942
Rounded,25,3,12.0425,3.3505,3232.2722
Rounded,25,3,12.2673,3.357,3244.1761
Rounded,25,3,12.1315,3.3408,3014.7568
Rounded,25,3,11.9582,3.3909,3287.7481
Rounded,25,3,11.8246,3.3092,3307.7352
Rounded,25,3,11.841,3.3013,3308.5061
Rounded,25,3,11.8432,3.3098,3310.3494
Rounded,25,3,11.8336,3.3192,3308.271
Rounded,25,3,11.8355,3.3148,3309.9641
Rounded,25,3,11.8395,3.3099,3309.9684
Rounded,25,3,11.827,3.3336,3309.0128
Rounded,25,3,11.8155,3.306,3309.856
Rounded,25,3,11.8354,3.319,3307.6483
Rounded,25,3,11.8351,3.3111,3307.81
Rounded,25,3,11.8541,3.3029,3308.9377
Rounded,25,3,11.8604,3.3108,3307.2922
Rounded,25,3,11.8438,3.3376,3307.8579
Rounded,25,3,11.8421,3.3261,3308.6311
Rounded,25,3,11.8211,3.3165,3309.8339
Rounded,25,3,11.8022,3.3137,3308.5934
Rounded,25,3,11.8035,3.3169,3310.1776
Rounded,25,3,11.8333,3.3371,3307.1719
Rounded,25,3,11.8469,3.3169,3307.8567
Rounded,25,3,11.8142,3.3372,3309.059
Rounded,25,3,11.3633,3.247,3267.8369
Rounded,25,3,11.3741,3.2515,3286.1919
Rounded,25,3,11.3723,3.2691,3306.7258
Rounded,25,3,11.7386,3.2503,3244.703
Rounded,25,3,11.408,3.2623,3246.0993
Rounded,25,3,11.5334,3.2786,3252.0807
Rounded,25,3,11.6776,3.2758,3304.4718
Rounded,25,3,11.7429,3.2882,3257.9732
Rounded,25,3,11.3264,3.2757,3264.074
Rounded,25,3,11.699,3.2446,3306.6636
Rounded,25,3,11.7055,3.2959,3231.6172
Rounded,25,3,11.417,3.2382,3236.042
Rounded,25,3,11.2858,3.2976,3249.878
Rounded,25,3,11.5028,3.268,3252.8664
Rounded,25,3,11.3959,3.2747,3267.8915
Rounded,25,3,11.7113,3.2555,3304.3507
Rounded,25,3,11.2518,3.2637,3249.4436
Rounded,25,3,11.4888,3.2429,3289.0973
Rounded,25,3,11.4091,3.2629,3270.2519
Rounded,25,3,11.7785,3.2542,3287.3487
Rounded,25,7,17.6885,4.5186,3392.7946
Rounded,25,7,17.6356,4.574,3334.3115
Rounded,25,7,17.0863,4.396,3357.6499
Rounded,25,7,17.4402,4.5064,3355.4572
Rounded,25,7,17.266,4.3586,3375.3052
Rounded,25,7,17.4589,4.6932,3321.4695
Rounded,25,7,17.3299,4.464,3329.1598
Rounded,25,7,17.3441,4.6562,3387.063
Rounded,25,7,17.1392,4.7042,3314.412
Rounded,25,7,17.2045,4.4403,3355.8726
Rounded,25,7,16.9992,4.6487,3390.9522
Rounded,25,7,17.7886,4.3378,3358.476
Rounded,25,7,17.5526,4.6608,3311.1182
Rounded,25,7,17.7964,4.4515,3346.5134
Rounded,25,7,17.1242,4.438,3338.4798
Rounded,25,7,17.7863,4.6713,3329.1112
Rounded,25,7,17.6758,4.5237,3358.2388
Rounded,25,7,17.4859,4.422,3367.2434
Rounded,25,7,17.3659,4.6892,3303.6067
Rounded,25,7,17.2064,4.6369,3312.1981
Rounded,25,7,16.8225,4.6331,3315.0061
Rounded,25,7,17.5412,3.9381,3397.5395
Rounded,25,7,17.7671,4.6214,3370.0582
Rounded,25,7,16.8014,4.301,3403.4546
Rounded,25,7,16.9334,4.6313,3348.5972
Rounded,25,7,16.873,4.6447,3348.5929
Rounded,25,7,16.9734,4.2745,3397.1954
Rounded,25,7,17.2797,3.9912,3396.7141
Rounded,25,7,17.3186,4.6643,3355.3893
Rounded,25,7,16.7343,4.0216,3336.0464
Rounded,25,7,17.4193,4.3264,3338.7802
Rounded,25,7,16.7365,4.4443,3355.2045
Rounded,25,7,16.7715,4.0659,3318.4189
Rounded,25,7,16.6847,3.9688,3306.5735
Rounded,25,7,17.1608,4.2023,3397.3007
Rounded,25,7,16.9822,3.9444,3311.8759
Rounded,25,7,16.5492,4.3152,3322.5215
Rounded,25,7,17.2455,4.002,3373.6118
Rounded,25,7,17.7729,4.2847,3335.621
Rounded,25,7,16.6648,4.0689,3394.0753
Rounded,25,7,16.797,4.2694,3422.4452
Rounded,25,7,16.6591,4.2495,3410.0209
Rounded,25,7,16.9798,4.2336,3422.6441
Rounded,25,7,16.5938,4.2738,3421.8451
Rounded,25,7,16.8077,3.9394,3425.7306
Rounded,25,7,16.784,4.3127,3426.0232
Rounded,25,7,16.6752,4.2719,3414.8575
Rounded,25,7,16.5528,4.1814,3417.6304
Rounded,25,7,16.4944,4.2044,3411.5453
Rounded,25,7,16.6921,4.2996,3410.7408
Rounded,25,7,16.5738,4.0967,3418.9743
Rounded,25,7,16.8443,4.2848,3411.535
Rounded,25,7,16.6668,4.3131,3415.2484
Rounded,25,7,16.9021,4.1002,3415.5044
Rounded,25,7,16.8485,4.0251,3418.2882
Rounded,25,7,16.767,4.1742,3421.4788
Rounded,25,7,16.5701,4.162,3409.3362
Rounded,25,7,16.96,3.931,3422.686
Rounded,25,7,16.6143,4.1377,3422.3492
Rounded,25,7,16.9436,4.1309,3413.5706
Rounded,25,7,17.1629,4.6818,3391.9922
Rounded,25,7,17.2844,4.3887,3423.1449
Rounded,25,7,17.0523,4.5541,3422.45
Rounded,25,7,17.5008,4.3221,3421.8824
Rounded,25,7,17.1278,4.6374,3392.5057
Rounded,25,7,17.0178,4.5498,3421.5628
Rounded,25,7,17.5682,4.4309,3423.0769
Rounded,25,7,17.2632,4.4104,3413.7971
Rounded,25,7,17.5174,4.3577,3396.3046
Rounded,25,7,17.2928,4.5285,3391.6809
Rounded,25,7,17.4904,4.3737,3396.2115
Rounded,25,7,16.9988,4.621,3424.353
Rounded,25,7,17.7203,4.3379,3404.6036
Rounded,25,7,17.631,4.3246,3419.9189
Rounded,25,7,17.5866,4.6436,3405.4327
Rounded,25,7,17.6412,4.6475,3392.8124
Rounded,25,7,17.2923,4.3882,3412.3644
Rounded,25,7,17.4822,4.6292,3392.3225
Rounded,25,7,17.4483,4.4404,3399.7571
Rounded,25,7,17.4114,4.6855,3425.0225
Rounded,25,7,17.6349,4.3665,3385.8036
Rounded,25,7,17.6501,4.6319,3364.6992
Rounded,25,7,17.5334,4.5006,3380.585
Rounded,25,7,17.6621,4.4257,3367.7239
Rounded,25,7,17.3308,4.398,3364.2867
Rounded,25,7,17.2265,4.3786,3375.2469
Rounded,25,7,17.7756,4.5275,3376.2537
Rounded,25,7,17.4852,4.373,3370.0016
Rounded,25,7,17.7428,4.4633,3381.3888
Rounded,25,7,17.3322,4.6257,3370.8761
Rounded,25,7,17.2247,4.6574,3363.5333
Rounded,25,7,17.7544,4.6555,3366.5559
Rounded,25,7,17.2533,4.4084,3369.0302
Rounded,25,7,17.7824,4.5156,3369.7357
Rounded,25,7,17.4001,4.5825,3372.4822
Rounded,25,7,17.3427,4.3862,3371.1825
Rounded,25,7,17.4861,4.4256,3378.9625
Rounded,25,7,17.2843,4.6986,3372.0291
Rounded,25,7,17.2765,4.3993,3387.8469
Rounded,25,7,17.4333,4.4151,3383.8891
Rounded,25,14,19.3014,6.2519,3395.9637
Rounded,25,14,19.3525,6.4797,3408.5573
Rounded,25,14,19.3297,6.8391,3393.5183
Rounded,25,14,19.2399,6.2854,3394.6971
Rounded,25,14,19.2816,6.8757,3407.5073
Rounded,25,14,19.6076,6.6105,3398.8107
Rounded,25,14,19.8145,6.8882,3410.1212
Rounded,25,14,19.44,7.0065,3402.1322
Rounded,25,14,19.4759,6.253,3401.1228
Rounded,25,14,19.8431,6.9881,3403.9408
Rounded,25,14,19.8183,6.3959,3396.5627
Rounded,25,14,19.6462,5.9497,3410.8887
Rounded,25,14,19.8456,6.9404,3398.046
Rounded,25,14,19.7039,6.4014,3410.2845
Rounded,25,14,19.4286,6.913,3406.6725
Rounded,25,14,19.637,6.9375,3410.1024
Rounded,25,14,19.3694,6.1222,3400.1229
Rounded,25,14,19.4023,6.0136,3391.4666
Rounded,25,14,19.6484,6.7268,3401.4725
Rounded,25,14,19.5509,6.4023,3403.2429
Rounded,25,14,19.9302,5.9139,3270.2937
Rounded,25,14,19.966,6.2497,3239.1618
Rounded,25,14,19.9936,6.9615,3234.657
Rounded,25,14,19.9624,6.5898,3373.156
Rounded,25,14,19.9564,6.5756,3288.4279
Rounded,25,14,19.9624,6.9121,3388.4674
Rounded,25,14,19.9489,6.8734,3236.8668
Rounded,25,14,19.8686,6.0607,3342.6307
Rounded,25,14,19.9879,5.953,3249.3249
Rounded,25,14,20.0397,6.9243,3210.8134
Rounded,25,14,19.9195,6.3851,3199.6827
Rounded,25,14,20.035,6.064,3399.0422
Rounded,25,14,19.918,6.1562,3229.4606
Rounded,25,14,20.0191,6.2527,3264.6196
Rounded,25,14,19.9382,6.7897,3302.2501
Rounded,25,14,19.9305,6.2599,3347.5953
Rounded,25,14,19.8939,5.9145,3346.8446
Rounded,25,14,19.8766,6.8684,3211.3852
Rounded,25,14,19.9109,7.0589,3201.5264
Rounded,25,14,19.9891,7.0442,3200.13
Rounded,25,14,21.0668,6.296,3234.8939
Rounded,25,14,20.95,6.3296,3205.0547
Rounded,25,14,20.0532,6.6098,3207.385
Rounded,25,14,21.1459,5.9554,3252.2839
Rounded,25,14,21.2496,6.017,3210.861
Rounded,25,14,21.0511,6.7166,3209.0825
Rounded,25,14,20.0963,6.4624,3244.7773
Rounded,25,14,20.5362,6.9833,3222.3449
Rounded,25,14,20.9638,7.0542,3241.7415
Rounded,25,14,20.9968,5.9966,3204.8037
Rounded,25,14,20.3344,6.9447,3201.2873
Rounded,25,14,20.3931,6.4248,3206.3812
Rounded,25,14,20.9228,6.0028,3208.3708
Rounded,25,14,20.6664,6.2352,3227.721
Rounded,25,14,20.8581,6.2772,3211.196
Rounded,25,14,20.3504,6.2061,3254.6397
Rounded,25,14,20.2726,6.0103,3198.231
Rounded,25,14,21.1281,6.5091,3243.1021
Rounded,25,14,21.0458,6.9994,3238.9176
Rounded,25,14,21.2655,6.7867,3240.2919
Rounded,25,14,21.311,6.9176,3293.8759
Rounded,25,14,21.2832,6.5131,3303.0516
Rounded,25,14,21.3143,6.0384,3295.3306
Rounded,25,14,21.168,5.892,3272.3092
Rounded,25,14,21.279,6.0346,3306.8395
Rounded,25,14,21.0158,7.0244,3282.5845
Rounded,25,14,21.3143,6.2761,3279.461
Rounded,25,14,21.3349,6.7261,3310.6683
Rounded,25,14,21.1427,5.9485,3318.853
Rounded,25,14,21.0621,6.5726,3299.435
Rounded,25,14,21.2346,6.095,3266.4893
Rounded,25,14,21.2844,6.7888,3314.2455
Rounded,25,14,21.2245,6.1855,3298.9111
Rounded,25,14,21.2727,6.1663,3346.9975
Rounded,25,14,21.1603,6.9234,3287.3407
Rounded,25,14,21.0119,6.2114,3276.9299
Rounded,25,14,21.1158,5.9599,3262.4736
Rounded,25,14,21.3134,6.4662,3258.7292
Rounded,25,14,21.205,6.0645,3270.868
Rounded,25,14,21.331,6.9483,3276.216
Rounded,25,14,20.5512,6.8362,3328.2934
Rounded,25,14,20.6103,6.801,3302.4822
Rounded,25,14,20.1298,7.0242,3339.1122
Rounded,25,14,20.2877,6.5393,3318.359
Rounded,25,14,20.5645,6.8051,3316.2081
Rounded,25,14,20.2174,6.9742,3327.026
Rounded,25,14,20.8601,7.0362,3339.8086
Rounded,25,14,20.6457,6.6249,3303.7696
Rounded,25,14,20.1895,7.0623,3310.4398
Rounded,25,14,20.1978,6.96,3311.3465
Rounded,25,14,20.371,6.6776,3334.3733
Rounded,25,14,20.4518,6.7928,3299.5174
Rounded,25,14,20.6854,6.6155,3312.7223
Rounded,25,14,20.1821,6.9768,3336.4883
Rounded,25,14,20.8709,6.6041,3337.3581
Rounded,25,14,20.3565,6.9043,3314.4279
Rounded,25,14,20.4279,6.748,3340.5612
Rounded,25,14,20.2694,6.5341,3341.6159
Rounded,25,14,20.6387,6.5962,3301.7694
Rounded,25,14,20.3402,6.6721,3333.7553
Rounded,25,28,24.0058,5.8905,3662.4613
Rounded,25,28,23.7177,5.8905,3660.874
Rounded,25,28,23.8468,5.8905,3658.3307
Rounded,25,28,24.0867,5.8905,3658.584
Rounded,25,28,23.8452,5.8905,3662.439
Rounded,25,28,23.7222,5.8905,3660.4285
Rounded,25,28,23.8846,5.8905,3656.552
Rounded,25,28,23.7391,5.8905,3657.2886
Rounded,25,28,23.9616,5.8905,3661.1874
Rounded,25,28,23.7691,5.8905,3660.2381
Rounded,25,28,23.8132,5.8905,3658.2501
Rounded,25,28,23.9269,5.8905,3662.9649
Rounded,25,28,24.0831,5.8905,3659.9061
Rounded,25,28,23.7207,5.8905,3662.3357
Rounded,25,28,24.0073,5.8905,3659.3469
Rounded,25,28,23.9518,5.8905,3660.2479
Rounded,25,28,24.0726,5.8905,3656.0868
Rounded,25,28,23.5545,5.8905,3658.3966
Rounded,25,28,23.737,5.8905,3658.9585
Rounded,25,28,23.9088,5.8905,3657.6591
Rounded,25,28,23.7118,6.0305,3658.7958
Rounded,25,28,23.782,5.9381,3659.1813
Rounded,25,28,23.1217,5.9914,3657.0816
Rounded,25,28,23.2406,6.0448,3656.5843
Rounded,25,28,23.2872,6.274,3658.9937
Rounded,25,28,23.1913,6.021,3656.9728
Rounded,25,28,24.0331,6.1093,3656.6838
Rounded,25,28,23.6193,6.1928,3657.4546
Rounded,25,28,23.4785,6.1068,3656.3511
Rounded,25,28,23.7675,6.0036,3656.0358
Rounded,25,28,23.1163,6.0801,3656.1482
Rounded,25,28,22.9224,6.1518,3658.0087
Rounded,25,28,23.7117,6.2641,3656.9119
Rounded,25,28,23.0943,6.247,3657.8093
Rounded,25,28,23.9092,6.2237,3658.1337
Rounded,25,28,22.9492,6.1913,3656.6212
Rounded,25,28,23.908,5.9427,3656.24
Rounded,25,28,23.2905,6.1501,3659.325
Rounded,25,28,23.5955,6.1245,3658.3788
Rounded,25,28,22.9903,6.0599,3658.5548
Rounded,25,28,23.0394,6.2832,3661.4898
Rounded,25,28,23.0306,6.2832,3661.2323
Rounded,25,28,23.2725,6.2832,3660.8527
Rounded,25,28,22.9454,6.2832,3659.7602
Rounded,25,28,23.0055,6.2832,3660.7812
